treatment_id,subset,wavelength_min_nm,wavelength_max_nm,n_wavelengths,raw_digitized_absorptance_rows,implied_absorptance_rows,clamped_zero_implied_absorptance_rows,min_absorptance_model,max_absorptance_model,min_transmittance_model,max_transmittance_model,min_reflectance_model,max_reflectance_model,min_optical_budget_sum_model,max_optical_budget_sum_model,max_abs_budget_residual_model,max_rt_budget_excess_fraction_raw,negative_model_values,above_one_model_values,notes
mean_of_treatments,all,404,797,394,0,0,0,0.0,0.9213808693983978,0.019436538773145728,0.5833228027784945,0.04902792349209317,0.45174857289932274,0.9999999999999999,1.0000000000000002,2.220446049250313e-16,0.16703845194561007,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
o_plus_fr,all,404,797,394,329,2,63,0.0,0.9133169108637011,0.022581652580695902,0.6108149299264606,0.05493622457305323,0.42757537311695243,0.9999999999999998,1.0000000000000002,2.220446049250313e-16,0.13725821487161305,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
o_plus_fr,raw_a_basis,404,732,329,329,0,0,0.01581803647520474,0.9133169108637011,0.022581652580695902,0.5765419697927727,0.05493622457305323,0.40763999373202253,0.9999999999999999,1.0000000000000002,2.220446049250313e-16,0.0,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
o_plus_fr,implied_a_basis,733,797,65,0,2,63,0.0,0.0,0.5724246268830475,0.6108149299264606,0.38918507007353936,0.42757537311695243,0.9999999999999998,1.0000000000000002,2.220446049250313e-16,0.13725821487161305,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
orange,all,404,797,394,334,2,58,0.0,0.9433387500227483,0.009478764925924477,0.5814770932296757,0.03839867202929798,0.4530728699447284,0.9999999999999998,1.0,2.220446049250313e-16,0.11308649963085649,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
orange,raw_a_basis,404,737,334,334,0,0,0.014240143990649764,0.9433387500227483,0.009478764925924477,0.556859876990529,0.03839867202929798,0.42889997901882115,0.9999999999999999,1.0,1.1102230246251565e-16,0.0,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
orange,implied_a_basis,738,797,60,0,2,58,0.0,0.0,0.5469271300552717,0.5814770932296757,0.4185229067703244,0.4530728699447284,0.9999999999999998,1.0,2.220446049250313e-16,0.11308649963085649,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
r_plus_fr,all,404,797,394,322,0,72,0.0,0.9018910708442474,0.02576612400637858,0.57127770551172,0.056384828901729696,0.4567864447225486,0.9999999999999998,1.0000000000000002,2.220446049250313e-16,0.24408306485859654,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
r_plus_fr,raw_a_basis,404,725,322,322,0,0,0.01700663335665468,0.9018910708442474,0.02576612400637858,0.534763517468212,0.056384828901729696,0.4482298491751332,0.9999999999999999,1.0000000000000002,2.220446049250313e-16,0.0,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
r_plus_fr,implied_a_basis,726,797,72,0,0,72,0.0,0.0,0.5432135552774515,0.57127770551172,0.42872229448828,0.4567864447225486,0.9999999999999998,1.0000000000000002,2.220446049250313e-16,0.24408306485859654,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
red,all,404,797,394,327,2,65,0.0,0.9303112686517871,0.012713045195960431,0.570190265334277,0.04459311811529417,0.4743463240044998,0.9999999999999998,1.0000000000000002,2.220446049250313e-16,0.1744416912624258,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
red,raw_a_basis,404,730,327,327,0,0,0.03109431680773877,0.9303112686517871,0.012713045195960431,0.5338398861015446,0.04459311811529417,0.4350657970907166,0.9999999999999998,1.0,2.220446049250313e-16,0.0,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
red,implied_a_basis,731,797,67,0,2,65,0.0,0.00866285621881091,0.5256536759955004,0.570190265334277,0.4298097346657229,0.4743463240044998,0.9999999999999998,1.0000000000000002,2.220446049250313e-16,0.1744416912624258,0,0,Model A/T/R are budget-constrained. Raw digitized R/T and raw implied A are preserved separately.
