wavelength_nm,relative_spd
380,0.000847
381,0.001052
382,0.001047
383,0.000867
384,0.000704
385,0.000594
386,0.000534
387,0.000503
388,0.000481
389,0.000458
390,0.000436
391,0.000413
392,0.000391
393,0.000369
394,0.000346
395,0.000324
396,0.000301
397,0.000279
398,0.000256
399,0.000234
400,0.000212
401,0.000189
402,0.000196
403,0.000267
404,0.000435
405,0.000679
406,0.000985
407,0.001340
408,0.001754
409,0.002242
410,0.002879
411,0.003743
412,0.004860
413,0.006191
414,0.007731
415,0.009511
416,0.011508
417,0.013790
418,0.016468
419,0.019713
420,0.023435
421,0.027648
422,0.032366
423,0.037744
424,0.043773
425,0.050447
426,0.057813
427,0.065801
428,0.074823
429,0.085254
430,0.097150
431,0.109741
432,0.122328
433,0.135308
434,0.149803
435,0.166541
436,0.185365
437,0.206304
438,0.229631
439,0.257338
440,0.289877
441,0.330710
442,0.375003
443,0.421999
444,0.463502
445,0.506540
446,0.546581
447,0.584984
448,0.611070
449,0.624454
450,0.625267
451,0.611906
452,0.588224
453,0.550869
454,0.510446
455,0.464896
456,0.424733
457,0.388127
458,0.361301
459,0.340087
460,0.325015
461,0.312928
462,0.303166
463,0.294047
464,0.284862
465,0.275493
466,0.265448
467,0.253996
468,0.241221
469,0.227389
470,0.214268
471,0.202459
472,0.193540
473,0.187343
474,0.183696
475,0.181695
476,0.180614
477,0.180311
478,0.180812
479,0.182501
480,0.185423
481,0.189482
482,0.194581
483,0.200587
484,0.207138
485,0.213868
486,0.220711
487,0.227871
488,0.235607
489,0.243993
490,0.253011
491,0.262565
492,0.272474
493,0.282525
494,0.292520
495,0.302465
496,0.312397
497,0.322292
498,0.331941
499,0.341184
500,0.349854
501,0.357949
502,0.365509
503,0.372799
504,0.380015
505,0.386986
506,0.393352
507,0.398818
508,0.403771
509,0.408650
510,0.413844
511,0.419187
512,0.424361
513,0.429048
514,0.433201
515,0.437050
516,0.440844
517,0.444744
518,0.448746
519,0.452837
520,0.457012
521,0.461288
522,0.465531
523,0.469515
524,0.473010
525,0.476041
526,0.478845
527,0.481771
528,0.485054
529,0.488755
530,0.492757
531,0.496955
532,0.501290
533,0.505738
534,0.510267
535,0.514845
536,0.519474
537,0.524439
538,0.530166
539,0.536874
540,0.543946
541,0.550487
542,0.556070
543,0.561157
544,0.566346
545,0.571971
546,0.578033
547,0.584535
548,0.591502
549,0.598872
550,0.606550
551,0.614277
552,0.621850
553,0.629257
554,0.636762
555,0.644605
556,0.652603
557,0.660411
558,0.668061
559,0.676163
560,0.685306
561,0.695416
562,0.705880
563,0.716199
564,0.726212
565,0.736010
566,0.745620
567,0.755085
568,0.764589
569,0.774260
570,0.783794
571,0.792553
572,0.801451
573,0.811054
574,0.822193
575,0.833159
576,0.843971
577,0.854366
578,0.864697
579,0.874478
580,0.883562
581,0.892477
582,0.901621
583,0.911125
584,0.920517
585,0.929110
586,0.936371
587,0.942427
588,0.947914
589,0.953424
590,0.959171
591,0.964911
592,0.970398
593,0.975519
594,0.980150
595,0.984130
596,0.987256
597,0.989750
598,0.991893
599,0.993952
600,0.995935
601,0.997818
602,0.999280
603,1.000000
604,0.999689
605,0.998549
606,0.996471
607,0.993318
608,0.989022
609,0.984207
610,0.979497
611,0.974715
612,0.969091
613,0.962140
614,0.954436
615,0.946907
616,0.939586
617,0.931889
618,0.923106
619,0.913491
620,0.903449
621,0.893315
622,0.882127
623,0.870076
624,0.857607
625,0.846552
626,0.834801
627,0.821815
628,0.807115
629,0.794134
630,0.782309
631,0.770499
632,0.757064
633,0.743103
634,0.729472
635,0.716311
636,0.703186
637,0.690460
638,0.677605
639,0.664728
640,0.651222
641,0.637868
642,0.624428
643,0.611320
644,0.598927
645,0.587006
646,0.574712
647,0.561057
648,0.546957
649,0.533380
650,0.520704
651,0.508433
652,0.496280
653,0.484330
654,0.472424
655,0.460368
656,0.448012
657,0.435756
658,0.423907
659,0.412711
660,0.402212
661,0.392480
662,0.383005
663,0.373114
664,0.362332
665,0.351302
666,0.340763
667,0.331134
668,0.322156
669,0.313523
670,0.305048
671,0.296504
672,0.287650
673,0.278547
674,0.269617
675,0.261309
676,0.253468
677,0.245685
678,0.237740
679,0.229790
680,0.222073
681,0.214636
682,0.207479
683,0.200726
684,0.194531
685,0.189051
686,0.183922
687,0.178685
688,0.172883
689,0.166707
690,0.160528
691,0.154715
692,0.149322
693,0.144437
694,0.140151
695,0.136499
696,0.132856
697,0.128612
698,0.123635
699,0.118720
700,0.114592
701,0.110892
702,0.107105
703,0.102994
704,0.099306
705,0.096336
706,0.093890
707,0.091457
708,0.088754
709,0.085845
710,0.082878
711,0.080005
712,0.077294
713,0.074680
714,0.072083
715,0.069422
716,0.066687
717,0.063949
718,0.061310
719,0.058864
720,0.056602
721,0.054482
722,0.052470
723,0.050573
724,0.048767
725,0.047017
726,0.045288
727,0.043580
728,0.041896
729,0.040264
730,0.038711
731,0.037251
732,0.035835
733,0.034411
734,0.032933
735,0.031405
736,0.029882
737,0.028427
738,0.027088
739,0.025839
740,0.024645
741,0.023472
742,0.022319
743,0.021189
744,0.020102
745,0.019079
746,0.018129
747,0.017225
748,0.016338
749,0.015452
750,0.014565
751,0.013714
752,0.012938
753,0.012280
754,0.011708
755,0.011152
756,0.010545
757,0.009858
758,0.009117
759,0.008343
760,0.007552
761,0.006742
762,0.005968
763,0.005311
764,0.004852
765,0.004572
766,0.004361
767,0.004103
768,0.003726
769,0.003262
770,0.002752
771,0.002235
772,0.001719
773,0.001221
774,0.000789
775,0.000471
776,0.000279
777,0.000169
778,0.000100
779,0.000050
780,0.000021
