wavelength_nm,relative_spd
600,6.2e-05
601,0.0
602,0.000178
603,0.000544
604,0.001044
605,0.001625
606,0.002196
607,0.002722
608,0.003135
609,0.003531
610,0.003993
611,0.004577
612,0.005262
613,0.006126
614,0.007219
615,0.008565
616,0.010147
617,0.011884
618,0.013779
619,0.015875
620,0.018139
621,0.020433
622,0.022694
623,0.025112
624,0.027817
625,0.030764
626,0.034051
627,0.037802
628,0.042029
629,0.046757
630,0.052065
631,0.057707
632,0.063998
633,0.071182
634,0.079123
635,0.087463
636,0.096911
637,0.107664
638,0.119974
639,0.133546
640,0.152144
641,0.165946
642,0.181442
643,0.198439
644,0.213797
645,0.239423
646,0.268503
647,0.296924
648,0.337002
649,0.384078
650,0.439346
651,0.483514
652,0.53533
653,0.562403
654,0.595143
655,0.637644
656,0.681494
657,0.727613
658,0.791627
659,0.852663
660,0.913919
661,0.95962
662,1.0
663,0.996065
664,0.974854
665,0.931184
666,0.868736
667,0.792242
668,0.699616
669,0.59902
670,0.50232
671,0.414711
672,0.346453
673,0.283229
674,0.228229
675,0.190611
676,0.161746
677,0.139583
678,0.115639
679,0.098272
680,0.080293
681,0.065887
682,0.054842
683,0.045567
684,0.038022
685,0.032205
686,0.027223
687,0.023578
688,0.021357
689,0.018566
690,0.016279
691,0.014361
692,0.012623
693,0.01093
694,0.009165
695,0.007331
696,0.005512
697,0.003991
698,0.002912
699,0.00242
700,0.002661
